team,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
札幌,10,10,5,0,0,0,0,0,4,0,0,0,4,0,0,0,0,12,15,13
仙台,0,0,11,5,0,0,0,0,0,0,10,14,15,11,9,9,13,11,13,12
山形,0,0,0,0,0,0,0,0,10,10,11,5,0,0,0,4,0,0,0,0
鹿島,37,19,18,13,14,16,18,22,38,20,16,13,12,18,18,18,18,23,16,18
浦和,11,11,13,13,19,17,22,20,31,16,14,8,15,17,18,21,23,14,14,9
大宮,0,0,0,0,0,12,13,8,21,9,11,10,11,14,9,0,15,5,0,0
千葉,26,17,13,15,13,16,13,12,15,5,0,0,0,0,0,0,0,0,0,0
柏,35,14,10,9,5,8,0,14,20,7,0,23,15,13,17,12,15,18,12,0
FC東京,28,13,13,13,10,11,13,14,32,16,8,0,14,16,12,19,15,10,14,19
東京Ｖ,22,10,13,11,11,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0
川崎Ｆ,7,0,0,0,0,15,20,14,37,19,15,13,14,18,16,17,22,21,21,16
横浜FM,27,9,19,17,17,12,13,14,24,11,15,16,13,18,14,15,13,17,12,22
横浜FC,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
湘南,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,13,7,0,10,10
甲府,0,0,0,0,0,0,12,7,0,0,0,9,0,8,9,10,7,7,0,0
松本,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6
新潟,0,0,0,0,10,11,12,15,24,13,12,10,10,17,12,8,8,7,0,0
清水,34,19,14,11,7,9,18,18,29,13,15,11,14,15,10,5,0,8,14,11
磐田,45,26,26,16,14,14,17,15,21,11,11,13,13,4,0,0,8,16,10,8
名古屋,31,17,15,11,12,10,13,13,31,14,23,21,15,13,13,13,7,0,12,9
京都,8,0,17,6,0,0,4,0,22,11,4,0,0,0,0,0,0,0,0,0
Ｇ大阪,29,14,19,10,15,18,20,19,32,18,18,21,9,0,19,18,17,11,14,12
Ｃ大阪,25,8,0,12,6,16,6,0,0,0,17,11,11,16,7,0,0,19,13,18
神戸,20,9,10,8,9,4,0,13,22,10,9,13,11,0,11,10,16,13,12,14
広島,26,13,8,0,6,13,13,8,15,15,14,14,19,19,13,23,16,8,17,15
徳島,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
福岡,22,9,0,0,0,0,5,0,0,0,0,6,0,0,0,0,4,0,0,0
鳥栖,0,0,0,0,0,0,0,0,0,0,0,0,15,13,19,9,12,13,10,10
長崎,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
大分,0,0,0,5,8,12,13,12,24,8,0,0,0,2,0,0,0,0,0,12
